total_population,rural_population,urban_population,code,state,district,total,rural,urban
957441,544392,413049,230,BIHAR,PATNA,0.437415987,0.6192229129,0.1977973558
417829,362059,55770,177,UTTAR PRADESH,FAIZABAD,0.3714438203,0.3982776288,0.1972386588
103748,86465,17283,228,BIHAR,SHEIKHPURA,0.9831514824,1.140345805,0.1967251056
793861,710299,83562,154,UTTAR PRADESH,SITAPUR,0.8124848053,0.8851202099,0.1950647423
640713,576602,64111,211,BIHAR,PURNIA,0.2292758224,0.2330897222,0.1949743414
272925,255926,16999,362,JHARKHAND,DUMKA,0.3865530823,0.3993341825,0.1941290664
69203,56316,12887,15,JAMMU & KASHMIR,KULGAM,1.507160094,1.807656794,0.1939939474
273663,253461,20202,397,ODISHA,NABARANGPUR,0.5773524371,0.6079830822,0.1930501931
262398,236453,25945,232,BIHAR,BUXUR,1.128057378,1.230688551,0.1927153594
113399,98284,15115,114,RAJASTHAN,JAISALMER,3.828957927,4.388303284,0.1918623884
129559,119112,10447,308,ASSAM,DHEMAJI,2.099429604,2.266774129,0.1914425194
188052,175393,12659,325,ASSAM,DARRANG,0.8875204731,0.9378937586,0.1895884351
747586,578490,169096,541,TELANGANA,KHAMMAN,0.2371633498,0.2511711525,0.1892416142
114067,92379,21688,416,CHHATTISGARH,Dantewada (Dakshin Bastar Dantewada),1.755985517,2.123859319,0.189044633
237186,193734,43452,463,MADHYA PRADESH,SINGRAULI,0.2297774742,0.2389874777,0.1887139832
364457,321866,42591,178,UTTAR PRADESH,AMBEDKAR NAGAR,0.2826122149,0.2951538839,0.1878331103
263749,193801,69948,226,BIHAR,MUNGER,0.3848355823,0.4566539904,0.1858523475
179085,71412,107673,585,GOA,NORTH GOA,0.1680766117,0.1414328124,0.1857475876
240217,178789,61428,79,HARYANA,SIRSA,0.1864980414,0.1868123878,0.1855831217
320991,296167,24824,182,UTTAR PRADESH,BALRAMPUR,0.3417541302,0.3548673552,0.185304544
132685,122902,9783,359,JHARKHAND,LATEHAR,1.882654407,2.017867895,0.1839926403
708721,619495,89226,155,UTTAR PRADESH,HARDOI,1.150805465,1.290083052,0.1838029274
540373,467403,72970,430,MADHYA PRADESH,REWA,0.2603757034,0.2723559755,0.1836371111
641742,585844,55898,219,BIHAR,SARAN,0.5757765582,0.6133032002,0.1824752227
22894,19039,3855,287,MIZORAM,LAWNGTLAI,6.272385778,7.505646305,0.1815823606
327701,312199,15502,223,BIHAR,KHAGARIA,0.3390285657,0.3468941284,0.1806218552
401001,383792,17209,213,BIHAR,MADHEPUARA,0.2985029963,0.3038103973,0.1801382997
561455,529611,31844,209,BIHAR,ARARIA,0.2514894337,0.2558481603,0.1789976134
391448,356247,35201,349,JHARKHAND,GIRIDIH,0.7219349697,0.7755854786,0.1789721883
1407410,1063044,344366,545,ANDHRA PRADESH,EAST GODAVARI,0.1972417419,0.2032841538,0.1785890593
312836,234453,78383,137,UTTAR PRADESH,JYOTIBA PHULE NAGAR,1.045276119,1.335448896,0.177334371
772625,567914,204711,550,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.1421129267,0.1303014189,0.1748806855
489636,247940,241696,386,ODISHA,KHURDA,0.1903454811,0.206501573,0.1737720111
299214,253752,45462,424,MADHYA PRADESH,TIKAMGARH,0.1925043614,0.1958605252,0.1737715015
299883,256019,43864,368,JHARKHAND,PASHCHIMI SINGHBHUM,3.64108669,4.235232541,0.1732628123
245048,235155,9893,233,BIHAR,KAIMUR (BHABUA),0.4607260618,0.4728795901,0.1718386738
233654,209035,24619,426,MADHYA PRADESH,PANNA,0.2863207991,0.2999497692,0.1705999431
666764,511576,155188,535,TELANGANA,MEDAK,0.3155539291,0.3596728541,0.1701162461
556789,322679,243110,364,JHARKHAND,RANCHI,0.3132245788,0.4140337611,0.1678252643
200424,161665,38759,580,KARNATAKA,YADGIR,0.265437273,0.2888689574,0.1677029851
355515,316135,39380,358,JHARKHAND,PALAMU,0.4362685119,0.4697360305,0.1675977654
359337,264274,95063,559,KARNATAKA,RAICHUR,0.3063976156,0.3564482318,0.1672575029
142987,109465,33522,14,JAMMU & KASHMIR,ANANTNAG,0.2846412611,0.3206504362,0.1670544717
254710,241497,13213,346,JHARKHAND,GARHWA,0.7746064151,0.8078775306,0.1665026867
